Timestep,A0,A1,A2,A3,A4,B0,B1,B2,B3,B4,C0,C1,C2,C3,C4,D0,D1,D2,D3,D4,E0,E1,E2,E3,E4
13580.0,0.0,43.5,247.76,31.51,0.0,33.010000000000005,133.59,328.86,133.5,126.00999999999999,90.02,375.43,148.51000000000002,163.66,113.13,48.010000000000005,253.94,163.60999999999999,126.0,120.01,0.0,148.52,127.51,96.02000000000001,0.0
13600.0,0.0,34.510000000000005,303.05,27.01,0.0,0.0,84.1,171.03,88.78,52.5,36.17,250.62,99.31,99.16,107.13,34.82,78.16,91.72,70.61,108.62,0.0,128.83,123.01,48.620000000000005,0.0
13620.0,0.0,87.01,339.05,33.0,0.0,19.51,129.01999999999998,246.28,97.55000000000001,157.5,19.5,261.15,126.14,156.01,122.17999999999999,57.269999999999996,226.7,118.51999999999998,69.00999999999999,18.0,0.0,6.0,143.15,100.60999999999999,0.0
13640.0,0.0,124.52,302.32,6.01,0.0,6.0,136.63,180.05,103.52000000000001,114.10000000000001,12.0,249.15,126.47,112.54,138.57,105.36,190.64000000000001,105.15,51.01,0.0,0.0,6.0,162.29,94.52,0.0
13660.0,0.0,12.0,180.1,61.52,0.0,25.5,82.59,171.01999999999998,103.5,84.00999999999999,58.5,409.67,231.14,163.54000000000002,84.01,62.11,226.48,76.6,114.17,27.0,0.0,45.010000000000005,159.04000000000002,6.0,0.0
13680.0,0.0,75.02,313.58000000000004,91.52,0.0,63.0,120.00999999999999,232.64,178.64,130.53,105.0,424.75,255.13,171.11999999999998,129.07999999999998,90.62,255.14000000000001,69.0,196.63,85.52000000000001,0.0,99.01,177.02,76.51,0.0
13700.0,0.0,102.11,310.55,12.0,0.0,25.52,91.52,159.14000000000001,129.18,28.5,12.57,316.71999999999997,135.1,99.1,90.63,87.11,234.14,33.04,114.11000000000001,19.09,0.0,70.53999999999999,196.53,13.5,0.0
13720.0,0.0,72.01,354.02,33.01,0.0,33.0,114.06,271.7,136.51,51.01,34.5,345.15,148.66,201.02,55.67,49.60000000000001,255.04,46.5,120.01,40.5,0.0,108.01,130.65,28.5,0.0
13740.0,0.0,12.0,165.10999999999999,25.5,0.0,34.54,82.6,294.07000000000005,120.24,48.01,33.0,328.65000000000003,148.59,172.67000000000002,72.1,48.0,219.03,60.0,136.82999999999998,73.52000000000001,0.0,12.0,139.41,6.0,0.0
13760.0,0.0,31.5,298.84000000000003,73.5,0.0,70.50999999999999,111.01,255.23000000000002,210.11,75.00999999999999,25.5,366.03999999999996,141.0,223.55,114.01,90.03,234.13,82.5,121.53,96.03999999999999,0.0,40.510000000000005,153.04,13.5,0.0
13780.0,0.0,47.08,303.08000000000004,27.57,0.0,18.0,76.63000000000001,196.60999999999999,100.8,33.620000000000005,14.07,121.61,57.22,156.26,117.01,33.620000000000005,48.01,54.16,89.42,80.95,0.0,0.0,160.54000000000002,33.02,0.0
13800.0,0.0,55.51,346.55,21.01,0.0,25.5,111.19,279.28,195.2,33.0,27.01,255.14,90.09,163.60000000000002,118.6,77.13,204.3,90.02,104.32,18.0,0.0,25.5,25.5,55.5,0.0
13820.0,0.0,99.01,214.7,0.0,0.0,6.0,105.12,165.09,195.10000000000002,12.0,18.0,358.61,46.63,82.52,148.69,6.0,196.60000000000002,90.03999999999999,49.81,6.0,0.0,0.0,106.55000000000001,19.5,0.0
13840.0,0.0,69.0,294.22,21.0,0.0,43.51,103.56,291.18,306.21,19.5,67.52000000000001,387.06,141.01999999999998,201.10999999999999,102.02,18.0,91.50999999999999,126.12,196.71,54.0,0.0,6.01,151.53,88.50999999999999,0.0
13860.0,0.0,114.02,307.64,43.51,0.0,66.03,156.03,246.26999999999998,313.73999999999995,49.51,126.00999999999999,381.19,211.57999999999998,261.12,154.57999999999998,114.08000000000001,193.57999999999998,147.01999999999998,240.14,106.50999999999999,0.0,0.0,211.64,172.57999999999998,0.0
13880.0,0.0,51.01,289.54,0.0,0.0,12.0,105.01,202.67000000000002,211.64,6.0,33.57,142.56,268.73,135.01999999999998,51.11,75.62,121.66999999999999,93.17,135.11,27.58,0.0,12.0,169.52,116.14000000000001,0.0
13900.0,0.0,58.51,316.54999999999995,33.0,0.0,18.0,135.01999999999998,201.24,174.12,25.5,69.6,270.22,321.3299999999999,208.57,107.16,75.62,148.51,70.52,157.51999999999998,18.0,0.0,25.5,65.24,176.16000000000003,0.0
