Timestep,A0A1,A0B0,A1A0,A1A2,A1B1,A2A1,A2A3,A2B2,A3A2,A3A4,A3B3,A4A3,A4B4,B0A0,B0B1,B0C0,B1A1,B1B0,B1B2,B1C1,B2A2,B2B1,B2B3,B2C2,B3A3,B3B2,B3B4,B3C3,B4A4,B4B3,B4C4,C0B0,C0C1,C0D0,C1B1,C1C0,C1C2,C1D1,C2B2,C2C1,C2C3,C2D2,C3B3,C3C2,C3C4,C3D3,C4B4,C4C3,C4D4,D0C0,D0D1,D0E0,D1C1,D1D0,D1D2,D1E1,D2C2,D2D1,D2D3,D2E2,D3C3,D3D2,D3D4,D3E3,D4C4,D4D3,D4E4,E0D0,E0E1,E1D1,E1E0,E1E2,E2D2,E2E1,E2E3,E3D3,E3E2,E3E4,E4D4,E4E3
15380.00,13.5,12.0,0,27.0,0,19.5,0,0,190.52,0,0,48.019999999999996,6.0,0,78.0,62.16,0,0,48.0,261.03,0,42.01,93.00999999999999,0,0,78.00999999999999,0,0.0,0,130.53,6.0,63.02,63.02,36.01,0,0,48.0,0,105.24,55.51,63.0,0,90.1,40.5,0,0,70.50999999999999,78.03,21.01,6.0,70.5,0,0,0,115.50999999999999,0,0,168.01999999999998,25.5,0,120.11,78.00999999999999,0,0,70.50999999999999,33.0,0,100.50999999999999,12.030000000000001,0,0,139.52,22.59,34.5,33.0,0,12.0,0,25.5,12.0
15400.00,0,6.57,0,0,6.0,20.11,0,6.0,171.02,0,28.52,20.14,0,0,0,0.0,21.08,12.0,0,55.51,48.0,22.66,22.61,27.09,18.0,30.15,19.5,48.019999999999996,0,15.11,0,0.0,0,21.58,63.040000000000006,6.0,0,6.0,49.58,0.0,7.59,27.0,64.53,0,0,42.03,0.0,22.6,0,0,0.0,0,27.0,27.0,30.12,18.0,13.5,133.63,0,19.5,169.67000000000002,0,6.0,21.01,21.58,0,0,0,0,0,0,141.02,19.5,0,22.6,6.0,0,0,22.6,0
15420.00,0,14.08,0,0,6.0,0,0,25.5,0.0,0,34.5,0,0,0,0,0,21.0,33.0,0,160.71,70.5,0,30.1,55.51,33.0,67.6,42.01,78.0,0,0,0,0,0,0,70.50999999999999,6.0,0,12.0,138.01,0,0.0,55.51,100.51,0,12.0,72.01,0,0,0,0,0,0,34.510000000000005,55.5,90.1,18.0,19.5,0,0,93.00999999999999,183.02,0,12.0,49.51,66.61,0,0,0,0,0,0,117.68,33.0,0,0,12.0,0,0,5.11,0
15440.00,0,0,0,6.01,0,6.0,6.0,0.0,40.58,0,0.0,0.0,6.0,0,6.01,19.5,0.0,0,19.5,231.12,0.0,25.5,25.509999999999998,0.0,0,48.06999999999999,0.0,0.0,0,6.0,12.030000000000001,0,6.01,0.0,0.0,0,27.11,0,118.52,19.52,27.01,0.0,88.51,12.01,0,73.56,19.509999999999998,19.509999999999998,0,18.02,0,0,0,51.01,117.11,0,0.0,34.67,19.56,51.01,133.52,19.53,0,96.02,28.24,19.509999999999998,0,0,0.0,0,0,55.67,7.6,0.0,33.03,0,0,0,6.0,13.53
15460.00,6.0,6.0,0,33.0,0,78.01,28.5,0,130.54000000000002,0,0,19.5,13.5,0,63.019999999999996,40.5,0,0,48.0,238.53,0,48.010000000000005,63.0,0,0,123.02,0,7.59,0,55.5,32.989999999999995,0,100.50999999999999,12.0,0,0,40.5,0,45.11,55.5,48.01,0,90.11,55.5,0,0,27.0,42.01,13.5,55.5,78.01,0,0,0,123.01,0,15.09,100.50999999999999,33.0,0,105.24,48.0,0,0,43.24,33.0,0,28.55,19.5,0,0,138.01999999999998,0,34.5,63.01,0,6.0,0,6.0,27.0
15480.00,27.05,13.5,0,70.50999999999999,0,123.07,28.5,0,183.04,0,0,55.5,13.5,0,100.52,63.03,0,0,72.00999999999999,217.91,6.01,63.0,70.50999999999999,7.59,0,153.06,0,0,0,108.02,34.5,0,145.53,21.0,0.0,0,42.010000000000005,0.0,112.6,100.55,93.08999999999999,0.0,6.01,78.03999999999999,0,0,34.5,93.07000000000001,28.5,85.50999999999999,115.53,0,0.0,0,138.01,0.0,0.0,153.01,21.0,0.0,127.61,63.01,0,0,58.24,100.53,0,42.01,13.5,0,0,288.09000000000003,6.0,42.0,93.00999999999999,0,21.0,0,13.5,70.54
15500.00,0,0,0,0,18.02,72.63,0,6.0,156.02,0,0,0,0,0,0,44.08,40.510000000000005,6.0,15.09,267.03,33.0,7.6,7.59,63.010000000000005,55.510000000000005,75.14,12.0,34.5,0,0,0,0,0,52.6,63.01,27.0,0.0,25.5,145.54,22.59,7.59,48.02,100.51,0,25.5,48.019999999999996,0,0,0,0,7.59,0,6.0,18.0,60.2,19.509999999999998,55.510000000000005,7.59,0,40.5,100.55,0.0,6.0,12.05,36.6,0,0,0,0,12.0,0,74.13,25.5,0,45.1,6.0,0,0,0,0
15520.00,0,0,0,0,18.0,72.8,0,6.0,165.13,0,0,0,0,0,0,59.08,85.50999999999999,6.0,0,220.58,48.0,0,0,85.50999999999999,63.0,105.11,42.01,63.010000000000005,0,0,0,0,0,0.0,85.55,40.5,0,55.51,183.03,0,0,93.00999999999999,145.51999999999998,7.6,40.5,108.02,0,0,0,0,0,0,13.5,25.5,104.99,19.5,63.0,0,0,63.01,153.02,0,6.0,18.0,0.0,0,0,0,0,19.5,0,126.59,25.5,0,22.62,18.0,0,0,0,0
15540.00,13.5,18.0,0,13.5,7.62,87.23,25.5,0,178.62,0,0,12.0,13.5,0,25.5,58.51,0,0,48.0,246.03,0,33.0,70.52,30.1,0,154.65,0,0,0,40.5,27.0,51.01,33.04,42.01,0,0,55.53,30.1,163.52,40.5,18.0,0,52.65,62.92,0,0.0,0,33.0,19.5,25.5,12.0,0,0,0,87.04,0,37.6,93.00999999999999,55.5,0,141.02,40.43,0,0,12.0,19.5,0,19.5,0,0,0,141.59,0,49.51,84.8,0,70.53,0,12.0,0
15560.00,40.5,25.5,0,27.0,0,123.08,78.05,0,177.05,0,0,25.5,21.01,0,63.0,58.51,0,0,70.50999999999999,245.99,0,63.010000000000005,70.50999999999999,0,0,175.52,0,0,0,63.0,48.01,102.01,40.5,42.01,0,0,78.0,7.65,22.61,48.0,48.0,0,90.11,100.43,0,0,6.01,100.51999999999998,27.0,55.52,63.010000000000005,0,0,0,117.01,0,0,130.53,63.0,0,150.26,47.95,0,0,40.5,33.0,0,48.0,6.04,0,0,154.52,0,115.65,114.80000000000001,0,93.00999999999999,0,19.5,6.0
15580.00,0,0,0,0,0,141.02,0,0,178.53,0,0,6.57,0,0,0,96.01,28.5,6.0,0,55.52,6.0,30.18,0,6.0,42.0,141.02,19.509999999999998,19.509999999999998,0,7.61,0,118.52,7.59,22.61,0.0,6.0,30.11,36.01,154.75,0.0,7.59,55.51,48.03,30.11,12.0,35.73,0,0.0,0,0,0,0,63.02,6.0,88.51,6.0,19.5,30.12,22.62,34.510000000000005,64.53,0,0,40.5,29.11,7.59,0,0,6.57,6.02,0,148.52,0,133.52,103.51,12.0,0.0,0,0,0
15600.00,0,0,0,0,6.0,45.2,0,0,0.0,0,6.0,0,0,0,0,96.59,42.01,25.5,0,190.75,12.0,0,0,12.0,48.0,127.77,25.5,55.5,0,0,0,0,0,0,19.5,19.5,37.6,42.01,168.05,0,15.09,63.0,100.51,0,40.5,70.21000000000001,0,0,0,0,0.0,0,93.00999999999999,25.5,82.6,6.0,27.0,0,0,42.01,153.02,0,12.0,93.03,0,0,0,0,0,12.0,0,119.07,0,0,0.0,18.0,0,0,0,0
15620.00,0,0,0,0.0,0,135.18,0,0,27.02,0,0,0,6.0,0,12.01,79.77,0.0,0,6.0,238.56,0,33.0,18.08,0.0,0,19.5,0.0,7.6,0,6.0,0,0,0,13.5,7.64,0,27.02,7.61,133.52,19.509999999999998,28.65,0.0,88.52,40.51,0,65.71,12.0,6.03,6.0,6.05,0,0,51.01,0.0,25.509999999999998,0,0,25.5,0.0,51.01,141.02,13.53,0,111.02,27.02,0,0,0,6.0,0,0,28.55,0,6.0,21.0,0,0,0,0.0,6.0
